Brewery,City,Brewery_type,Rating,City_population,Number_of_ratings,Date
BrothersBrewingCompany,Guelph,Nano Brewery,3.64,"4,110","3,246 Ratings",Added 04/20/14
BangerBrewing,Las Vegas,Micro Brewery,3.67,"60,755","50,673 Ratings",Added 08/08/11
BoulderBeerCompany,Boulder,Micro Brewery,3.65,"709,257","512,310 Ratings",Added 10/07/10
WoodfourBrewingCompany,Sebastopol,Micro Brewery,3.69,"19,951","16,111 Ratings",Added 08/04/13
Lagabiere,Saint-Jean-sur-Richelieu,Micro Brewery,3.78,"24,104","17,281 Ratings",Added 12/27/12
tailgatebeer,Nashville,Micro Brewery,3.62,"90,978","72,700 Ratings",Added 10/11/10
JailbreakBrewingCompany,Laurel,Micro Brewery,3.62,"168,047","122,329 Ratings",Added 05/01/13
GeaghanBrosBrewingCo,Bangor,Micro Brewery,3.71,"29,922","19,403 Ratings",Added 11/28/11
MontavillaBrewWorks,Portland,Micro Brewery,3.74,"8,191","6,767 Ratings",Added 12/13/14
tuatara,Paraparaumu,Micro Brewery,3.68,"156,547","112,736 Ratings",Added 11/13/10
wsin-city-brewing-co6153,Las Vegas,Micro Brewery,3.37,"48,397","40,035 Ratings",Added 11/28/10
OrdnanceBrewing,Boardman,Micro Brewery,3.73,"23,342","18,348 Ratings",Added 07/03/14
RisingSiloFarmBrewery,Blacksburg,Nano Brewery,3.54,"4,381","3,607 Ratings",Added 06/06/15
Redhook,Seattle,Micro Brewery,3.41,"724,678","480,884 Ratings",Added 10/09/10
Rhinegeist,Cincinnati,Micro Brewery,3.74,"813,152","563,853 Ratings",Added 06/29/13
CocoaBeachBrewingCompany,Cocoa Beach,Micro Brewery,3.52,"5,986","4,786 Ratings",Added 11/24/10
Primal_Brewery,Huntersville,Micro Brewery,3.6,"15,854","12,383 Ratings",Added 12/27/14
wharvest-moon-brewing-company-montana9165,Belt,Micro Brewery,3.62,"14,497","10,440 Ratings",Added 03/11/11
GarrisonBrewingCompany,Halifax,Micro Brewery,3.57,"57,259","40,575 Ratings",Added 10/08/10
dockstreetbrewing,Philadelphia,Micro Brewery,3.61,"56,503","44,695 Ratings",Added 11/15/10
FlixBrewhouse,Round Rock,Micro Brewery,3.67,"32,667","26,247 Ratings",Added 09/14/11
SeventhSonBrewingCo,Columbus,Micro Brewery,3.79,"123,859","94,134 Ratings",Added 04/21/13
LexingtonBrewingandDistillingCo,Lexington,Micro Brewery,3.74,"550,313","382,007 Ratings",Added 11/06/10
MadAnthonyBrewingCompany,Fort Wayne,Micro Brewery,3.58,"51,391","37,995 Ratings",Added 10/19/10
riverhorse,Ewing,Micro Brewery,3.63,"273,330","193,537 Ratings",Added 11/07/10
JDubsBrewingCo,Sarasota,Micro Brewery,3.74,"95,028","72,216 Ratings",Added 11/11/13
CigarCityBrewing,Tampa,Micro Brewery,3.94,2.25M+,"1,435,811 Ratings",Added 10/17/10
MadBeachCraftBrewingCompany,Madeira Beach,Micro Brewery,3.69,"27,342","22,855 Ratings",Added 10/13/13
wmicrobrasserie-saintarnould3578,Mont-Tremblant,Micro Brewery,3.35,"9,415","7,859 Ratings",Added 12/09/10
GristBrewingCompany,Highlands Ranch,Micro Brewery,3.62,"29,453","22,414 Ratings",Added 11/02/13
CapitolCityBrewingCompany,Arlington,Micro Brewery,3.47,"57,662","47,584 Ratings",Added 11/17/10
CrookedStave,Denver,Micro Brewery,4.04,"676,107","531,529 Ratings",Added 04/17/11
EasternShoreBrewing,St. Michaels,Micro Brewery,3.51,"20,171","16,089 Ratings",Added 11/30/10
KannahCreekBrewingCompany,Grand Junction,Micro Brewery,3.48,"30,345","24,086 Ratings",Added 02/21/11
BlackHammerBrewing,San Francisco,Micro Brewery,3.67,"16,922","14,488 Ratings",Added 11/12/13
ParkwayBrewingCompany,Salem,Micro Brewery,3.67,"108,258","78,006 Ratings",Added 03/10/13
IronFistBrewingCo,Vista,Micro Brewery,3.66,"83,420","63,545 Ratings",Added 10/18/10
Manguezal,Recife,Micro Brewery,3.71,256,198 Ratings,Added 07/11/15
AslanBrewingCompany,Bellingham,Micro Brewery,3.76,"52,789","41,579 Ratings",Added 06/26/13
bloomingtonbrew,Bloomington,Micro Brewery,3.65,"41,615","30,236 Ratings",Added 12/03/10
yellowhammer,Huntsville,Micro Brewery,3.73,"56,889","39,028 Ratings",Added 02/12/11
TheBrewOnBroadway,Englewood,Micro Brewery,3.54,"7,819","6,257 Ratings",Added 07/07/13
AtwaterBrewery,Detroit,Micro Brewery,3.56,"521,806","379,538 Ratings",Added 10/10/10
NorthBlyth,North Blyth,Micro Brewery,3.22,"1,896","1,562 Ratings",Added 07/07/15
ottbrew,Carlsbad,Micro Brewery,3.18,"2,338","1,878 Ratings",Added 05/02/11
fourpeaksbrew,Tempe,Micro Brewery,3.65,"346,008","216,354 Ratings",Added 10/07/10
johnharvards,Cambridge,Brew Pub,3.49,"33,474","26,479 Ratings",Added 10/11/10
RuhstallerBeer,Sacramento,Micro Brewery,3.63,"33,668","27,367 Ratings",Added 08/20/11
BlueCornBrewery,Santa Fe,Micro Brewery,3.59,"12,309","10,230 Ratings",Added 01/07/11
wdead-bear-brewing-co166833,Grayling,Brew Pub,3.52,"3,933","3,485 Ratings",Added 11/05/14
southerntierbrewing,Lakewood,Micro Brewery,3.8,3.29M+,"2,249,483 Ratings",Added 09/19/10
21stamendmentbrewery,San Francisco,Micro Brewery,3.68,1.41M+,"942,829 Ratings",Added 10/06/10
ElevatorBrewingCompany,Columbus,Micro Brewery,3.51,"108,282","81,061 Ratings",Added 11/17/10
DeschutesBrewery,Bend,Micro Brewery,3.81,3.55M+,"2,358,562 Ratings",Added 10/09/10
HackerPschorrBrau,81249 M�nchen,Macro Brewery,3.63,"338,969","239,106 Ratings",Added 08/14/15
CentralWatersBrewingCompany,Amherst,Micro Brewery,4,"713,386","459,218 Ratings",Added 10/20/10
GraniteFallsBrewingCompany,Granite Falls,Micro Brewery,3.67,"30,578","23,789 Ratings",Added 02/21/14
OdellBrewing,Fort Collins,Micro Brewery,3.82,1.43M+,"974,920 Ratings",Added 10/08/10
AlpineBeerCo,Alpine,Micro Brewery,3.93,"798,143","522,676 Ratings",Added 10/08/10
SmallBatchBeerCo,Winston-Salem,Micro Brewery,3.67,"15,725","12,797 Ratings",Added 05/04/13
wniseko-brewing-company183554,Abuta,Micro Brewery,3.48,559,422 Ratings,Added 01/31/15
SingleCutBeersmiths,Astoria,Micro Brewery,4.03,"563,561","419,114 Ratings",Added 10/02/11
2KidsBrewing,San Diego,Nano Brewery,3.55,"7,261","5,923 Ratings",Added 09/27/13
StoweCider,Stowe,Cidery / Meadery,3.72,"14,938","11,308 Ratings",Added 08/24/13
goldencoastmead,Oceanside,Cidery / Meadery,3.61,"9,293","7,400 Ratings",Added 01/14/12
BluelineBrewery,Clinton,Home Brewery,3.52,28,22 Ratings,Added 05/18/13
wprost-bier25278,Estrela,Micro Brewery,3.2,"3,598","3,052 Ratings",Added 03/03/12
BoxingBear,Albuquerque,Micro Brewery,3.84,"17,998","13,424 Ratings",Added 07/25/14
BentRiverBrewing,Moline,Micro Brewery,3.52,"104,281","75,313 Ratings",Added 12/08/10
wrio-bravo-brewing-company220385,Albuquerque,Micro Brewery,3.57,"5,412","4,452 Ratings",Added 08/15/15
bentpaddlebeer,Duluth,Micro Brewery,3.86,"165,451","105,203 Ratings",Added 04/20/13
iandibrewing,Chino,Micro Brewery,3.57,"8,560","6,443 Ratings",Added 01/07/12
Leinenkugels,Chippewa Falls,Macro Brewery,3.39,2.35M+,"1,390,200 Ratings",Added 10/02/10
drakesbrewing,San Leandro,Micro Brewery,3.83,"443,081","308,952 Ratings",Added 10/29/10
TwoRoadsBrewing,Stratford,Micro Brewery,3.72,"860,902","596,780 Ratings",Added 11/20/12
longtrail,Bridgewater Corners,Micro Brewery,3.59,"894,147","616,612 Ratings",Added 10/03/10
kneedeepbrewing,Auburn,Micro Brewery,3.93,"634,157","474,484 Ratings",Added 11/13/10
FermeBrasserieSchoune,St-Polycarpe,Micro Brewery,3.2,"5,615","4,830 Ratings",Added 01/18/11
LibertinePub,Morro Bay,Brew Pub,3.93,"60,894","49,417 Ratings",Added 09/22/12
perennialartisanales,St Louis,Micro Brewery,4.05,"598,540","449,169 Ratings",Added 12/08/10
MicrobrasserieALaFut,Saint-Tite,Micro Brewery,3.7,"27,264","22,534 Ratings",Added 06/15/11
EnegrenBrewing,Moorpark,Micro Brewery,3.72,"18,888","13,576 Ratings",Added 07/24/11
barleyforge,Costa Mesa,Micro Brewery,3.75,"72,848","55,017 Ratings",Added 12/30/13
TinWhiskersBrewingCo,Saint Paul,Micro Brewery,3.71,"54,672","38,908 Ratings",Added 09/02/12
FanaticBrewingCompany,Knoxville,Micro Brewery,3.52,"8,068","5,726 Ratings",Added 10/19/14
MeadowlarkBrewing,Sidney,Brew Pub,3.68,"5,471","4,329 Ratings",Added 04/20/14
TheBrewersCabinet,Reno,Brew Pub,3.62,"15,260","11,629 Ratings",Added 06/15/12
FlyingBikeCoop,Seattle,Micro Brewery,3.76,"14,087","11,322 Ratings",Added 10/23/11
harpoonbrewery,Boston,Micro Brewery,3.55,1.7M+,"1,145,020 Ratings",Added 10/01/10
902Brewing,Hoboken,Micro Brewery,3.62,"15,077","11,600 Ratings",Added 10/13/12
wnorth-coast-brewing-company919,Fort Bragg,Micro Brewery,3.84,1.22M+,"876,624 Ratings",Added 10/02/10
RatioBeerworks,Denver,Micro Brewery,3.78,"44,794","36,401 Ratings",Added 01/25/15
AscensionBrewingCompany,Novi,Micro Brewery,3.82,"39,855","33,637 Ratings",Added 06/28/15
LaCumbreBrewingCompany,Albuquerque,Micro Brewery,3.96,"145,146","93,298 Ratings",Added 12/12/10
InstitutionAleCompany,Camarillo,Micro Brewery,3.91,"31,188","22,827 Ratings",Added 08/29/13
FairWindsBrewingCompany,Lorton,Micro Brewery,3.67,"56,818","41,952 Ratings",Added 02/02/14
DarkSkyBrewing,Flagstaff,Micro Brewery,3.77,"27,200","23,443 Ratings",Added 12/09/14
MotorRowBrewing,Chicago,Micro Brewery,3.51,"13,341","11,216 Ratings",Added 06/06/14
BugnuttyBrew,Merritt Island,Micro Brewery,3.68,"10,635","8,221 Ratings",Added 09/09/13
DearbornBrewing,West Dearborn,Micro Brewery,3.34,"6,407","4,834 Ratings",Added 02/22/15
EnkiBrewingCompany,Victoria,Micro Brewery,3.62,"26,667","19,649 Ratings",Added 06/23/13
NorrisEnglishPub,Liberty,Micro Brewery,3.89,"2,329","1,743 Ratings",Added 02/03/14
blackabbeybrewing,Nashville,Micro Brewery,3.68,"81,144","61,583 Ratings",Added 12/10/11
10BarrelBrewing,Bend,Macro Brewery,3.66,"593,033","439,187 Ratings",Added 12/05/10
PalisadeBrewingCompany,Palisade,Micro Brewery,3.68,"12,353","9,262 Ratings",Added 05/08/11
wescape-craft-brewery120551,Redlands,Micro Brewery,3.58,"9,900","7,810 Ratings",Added 04/06/14
TightheadBrewingCompany,Mundelein,Micro Brewery,3.69,"81,766","59,981 Ratings",Added 04/17/11
CevadaPura,Piracicaba,Micro Brewery,3.56,"23,849","18,829 Ratings",Added 02/12/12
middleton,San Marcos,Brew Pub,3.71,"16,231","12,633 Ratings",Added 08/21/11
LoomisBasinBrewingCompany,Loomis,Micro Brewery,3.65,"14,230","10,182 Ratings",Added 01/31/11
IndianolaAles,Kansas City,Home Brewery,4.02,456,200 Ratings,Added 09/11/13
dogfishbeer,Milton,Micro Brewery,3.86,6.01M+,"3,914,039 Ratings",Added 09/18/10
PacBrewLab,San Francisco,Micro Brewery,3.71,"6,152","4,718 Ratings",Added 08/12/11
WitchsHatBrewingCo,South Lyon,Micro Brewery,3.92,"126,489","94,355 Ratings",Added 02/27/11
ConfluenceBrewingCompany,Des Moines,Micro Brewery,3.74,"116,380","76,803 Ratings",Added 10/07/12
NewGlarusBrewingCompany,New Glarus,Micro Brewery,3.89,1.55M+,"889,316 Ratings",Added 10/02/10
LittleChuteBrewingCompany,Little Chute,Nano Brewery,3.75,83,77 Ratings,Added 08/15/15
catawbavalleybc,Morganton,Micro Brewery,3.63,"231,539","174,485 Ratings",Added 11/18/10
BackpocketBrewing,Coralville,Micro Brewery,3.59,"86,048","61,208 Ratings",Added 02/28/11
cervezafauna,Mexicali,Micro Brewery,3.82,"17,571","12,050 Ratings",Added 04/01/13
whidden-legend-winery20335,Victor,Cidery / Meadery,3.63,"1,346","1,157 Ratings",Added 12/15/11
spicetradebrewing,Arvada,Brew Pub,3.68,"12,405","9,590 Ratings",Added 10/27/10
TopShelfBrewingCompany,Manchester,Micro Brewery,3.57,"12,344","8,453 Ratings",Added 08/31/13
CervejaBlumenau,Blumenau,Micro Brewery,3.78,"15,110","11,808 Ratings",Added 08/29/15
Schubros_Brewery,San Ramon,Micro Brewery,3.53,"14,258","11,444 Ratings",Added 06/18/12
DueSouthBrewing,Boynton Beach,Micro Brewery,3.71,"127,244","91,324 Ratings",Added 07/07/11
wgreat-frontier-brewing-company220787,Lakewood,Micro Brewery,3.49,"2,886","2,385 Ratings",Added 08/16/15
NewBelgium,Fort Collins,Micro Brewery,3.61,6.33M+,"4,142,895 Ratings",Added 09/19/10
FieldworkBrewingCompany,Berkeley,Micro Brewery,3.94,"385,701","301,592 Ratings",Added 02/12/15
